iso3_country,location,sector,year,total_emission
ARG,Córdoba,waste,2021,89313.05944492733
ARG,Córdoba,agriculture,2022,120753.98017449198
ARG,Córdoba,buildings-fuel-use,2022,711.8505624833092
ARG,Córdoba,fossil-fuel-operations,2022,240.5753342165439
ARG,Córdoba,land-use-change,2022,1885.1945264475687
ARG,Córdoba,manufacturing,2022,764.6033990801526
ARG,Córdoba,power,2022,0.0
ARG,Córdoba,transportation,2022,359.02774734480124
ARG,Córdoba,waste,2022,90733.43873410588
ARG,Córdoba,agriculture,2023,121363.3216484102
ARG,Córdoba,buildings-fuel-use,2023,684.4973032050012
ARG,Córdoba,fossil-fuel-operations,2023,233.81707960956248
ARG,Córdoba,land-use-change,2023,1924.6231746997223
ARG,Córdoba,manufacturing,2023,748.9394149129139
ARG,Córdoba,power,2023,0.0
ARG,Córdoba,transportation,2023,366.6751480033419
ARG,Córdoba,waste,2023,92059.41983725016
ARG,Córdoba,agriculture,2024,121653.84089629952
ARG,Córdoba,buildings-fuel-use,2024,689.7827003534438
ARG,Córdoba,fossil-fuel-operations,2024,234.8197841913069
ARG,Córdoba,land-use-change,2024,1918.7899362544945
ARG,Córdoba,manufacturing,2024,748.9394149029094
ARG,Córdoba,power,2024,0.0
ARG,Córdoba,transportation,2024,375.2521894543621
ARG,Córdoba,waste,2024,93386.48355287884
ARG,Córdoba,agriculture,2025,121640.93208518364
ARG,Córdoba,buildings-fuel-use,2025,693.6846908984294
ARG,Córdoba,fossil-fuel-operations,2025,234.81978415290772
ARG,Córdoba,land-use-change,2025,2123.541485154617
ARG,Córdoba,manufacturing,2025,748.9394149016637
ARG,Córdoba,power,2025,0.0
ARG,Córdoba,transportation,2025,377.9152123352889
ARG,Córdoba,waste,2025,94625.14267007652
ARG,Córdoba,agriculture,2026,50292.62096984874
ARG,Córdoba,buildings-fuel-use,2026,241.0724775775539
ARG,Córdoba,fossil-fuel-operations,2026,97.80953118312344
ARG,Córdoba,land-use-change,2026,965.8092037496295
ARG,Córdoba,manufacturing,2026,311.5540314292865
ARG,Córdoba,power,2026,0.0
ARG,Córdoba,transportation,2026,156.43895898284364
ARG,Córdoba,waste,2026,39440.1765706291
BOL,Santa Cruz,agriculture,2021,242349.190611401
BOL,Santa Cruz,buildings-fuel-use,2021,258.9510799100784
BOL,Santa Cruz,fossil-fuel-operations,2021,183413.79503183093
BOL,Santa Cruz,land-use-change,2021,6.96036242357278e-10
BOL,Santa Cruz,manufacturing,2021,242.540102687952
BOL,Santa Cruz,power,2021,0.0
BOL,Santa Cruz,transportation,2021,208.7204976373858
BOL,Santa Cruz,waste,2021,8594.246330992415
BOL,Santa Cruz,agriculture,2022,246379.0469468132
BOL,Santa Cruz,buildings-fuel-use,2022,247.73867468252263
BOL,Santa Cruz,fossil-fuel-operations,2022,157816.15920786635
BOL,Santa Cruz,land-use-change,2022,4.176218690553403e-09
BOL,Santa Cruz,manufacturing,2022,257.9985052326677
BOL,Santa Cruz,power,2022,0.0
BOL,Santa Cruz,transportation,2022,213.42524802171584
BOL,Santa Cruz,waste,2022,8761.063784837012
BOL,Santa Cruz,agriculture,2023,250952.07758203967
BOL,Santa Cruz,buildings-fuel-use,2023,259.69585212316883
BOL,Santa Cruz,fossil-fuel-operations,2023,135789.04367986263
BOL,Santa Cruz,land-use-change,2023,1.392074957534027e-09
BOL,Santa Cruz,manufacturing,2023,280.6146145056653
BOL,Santa Cruz,power,2023,0.0
BOL,Santa Cruz,transportation,2023,215.06139233549908
BOL,Santa Cruz,waste,2023,8857.296215532104
BOL,Santa Cruz,agriculture,2024,253334.92637181876
BOL,Santa Cruz,buildings-fuel-use,2024,282.87883327495706
BOL,Santa Cruz,fossil-fuel-operations,2024,121469.68201302634
BOL,Santa Cruz,land-use-change,2024,3.132165872529656e-09
BOL,Santa Cruz,manufacturing,2024,280.61461450566526
BOL,Santa Cruz,power,2024,0.0
BOL,Santa Cruz,transportation,2024,216.8934664262796
BOL,Santa Cruz,waste,2024,8974.03546442135
BOL,Santa Cruz,agriculture,2025,254045.9398180619
BOL,Santa Cruz,buildings-fuel-use,2025,285.46242724375657
BOL,Santa Cruz,fossil-fuel-operations,2025,111605.81813931168
BOL,Santa Cruz,land-use-change,2025,3.1278707122888517e-09
BOL,Santa Cruz,manufacturing,2025,280.6146145056653
