iso3_country,location,year,month,sector,sub_sector,total_emission
ARG,Buenos Aires,2021,1,Waste,incineration-and-open-burning-of-waste,17.05855405645195
ARG,Buenos Aires,2021,1,Waste,industrial-wastewater-treatment-and-discharge,1624.3060231695304
ARG,Buenos Aires,2021,1,Waste,solid-waste-disposal,10186.507066775664
ARG,Buenos Aires,2021,2,Agriculture,crop-residues,0.0
ARG,Buenos Aires,2021,2,Agriculture,cropland-fires,27.85798
ARG,Buenos Aires,2021,2,Agriculture,enteric-fermentation-cattle-operation,7738.012175547387
ARG,Buenos Aires,2021,2,Agriculture,enteric-fermentation-cattle-pasture,16570.25705832816
ARG,Buenos Aires,2021,2,Agriculture,enteric-fermentation-other,1269.491670314312
ARG,Buenos Aires,2021,2,Agriculture,manure-applied-to-soils,0.0
ARG,Buenos Aires,2021,2,Agriculture,manure-left-on-pasture-cattle,309.4997804921807
ARG,Buenos Aires,2021,2,Agriculture,manure-management-cattle-operation,505.9869274615456
ARG,Buenos Aires,2021,2,Agriculture,manure-management-other,127.33482336403588
ARG,Buenos Aires,2021,2,Agriculture,other-agricultural-soil-emissions,0.0
ARG,Buenos Aires,2021,2,Agriculture,rice-cultivation,3921.900836260721
ARG,Buenos Aires,2021,2,Agriculture,synthetic-fertilizer-application,0.0
ARG,Buenos Aires,2021,2,Buildings (Onsite Fuel Use),non-residential-onsite-fuel-usage,6.213351586098698
ARG,Buenos Aires,2021,2,Buildings (Onsite Fuel Use),other-onsite-fuel-usage,0.0
ARG,Buenos Aires,2021,2,Buildings (Onsite Fuel Use),residential-onsite-fuel-usage,122.29127
ARG,Buenos Aires,2021,2,Forestry & Land Use,forest-land-clearing,0.0
ARG,Buenos Aires,2021,2,Forestry & Land Use,forest-land-degradation,0.0
ARG,Buenos Aires,2021,2,Forestry & Land Use,forest-land-fires,0.0
ARG,Buenos Aires,2021,2,Forestry & Land Use,net-forest-land,0.0
ARG,Buenos Aires,2021,2,Forestry & Land Use,net-shrubgrass,0.0
ARG,Buenos Aires,2021,2,Forestry & Land Use,net-wetland,0.0
ARG,Buenos Aires,2021,2,Forestry & Land Use,removals,0.0
ARG,Buenos Aires,2021,2,Forestry & Land Use,shrubgrass-fires,0.0
ARG,Buenos Aires,2021,2,Forestry & Land Use,wetland-fires,0.0
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,bauxite-mining,0.0
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,coal-mining,4.373764403031274e-07
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,copper-mining,0.0
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,iron-mining,0.0
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,oil-and-gas-production,0.0
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,oil-and-gas-refining,22.085950838212607
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,oil-and-gas-transport,0.0
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,other-energy-use,34.25862925392502
