year,category,subcategory,mmtco2e_gwp20,mmtco2e_gwp100,ch4_tonnes
2011,Transportation,Nonroad Gasoline,0.003780193473005544,0.0012600644910018479,45.00230325006599
2011,Transportation,Onroad Diesel,0.00032593337312858785,0.00010864445770952928,3.88015920391176
2011,Transportation,Nonroad Diesel,0.02462038401804912,0.00820679467268304,293.09980973868
2011,Transportation,Rail,0.00121202302032,0.00040400767344,14.42884548
2011,Transportation,Marine Vessels (Gas & Oil),0.0021422626912310397,0.00071408756374368,25.503127276559997
2011,Transportation,"Lubricants, Natural Gas, and LPG",0.0,0.0,0.0
2011,Transportation,Jet Fuel and Aviation Gasoline,0.0064760975193599996,0.00215869917312,77.09639904
2011,Waste Management,Waste Combustion,0.0007443343403826696,0.00024811144679422317,8.861123099793685
2011,Waste Management,Landfills,5.887634632017209,1.9625448773390695,70090.88847639534
2011,Waste Management,Wastewater Management,1.5699861243271793,0.5233287081090598,18690.311003894993
2011,Waste Management,Residential Open Burning,0.0,0.0,0.0
2014,Agriculture,Enteric Fermentation,1.351894275488835,0.45063142516294497,16093.979470105178
2014,Agriculture,Manure Management,0.36151159179801967,0.1205038639326732,4303.709426166901
2014,Agriculture,Agricultural Soils,0.0,0.0,0.0
2014,Agriculture,Agricultural Burning,0.02188055920496961,0.007293519734989871,260.4828476782097
2014,Agriculture,Urea Fertilizer Usage and Liming,0.0,0.0,0.0
2014,Buildings & Industry Fuel Use,Coal,0.013128285756103121,0.004376095252034373,156.28911614408477
2014,Buildings & Industry Fuel Use,Natural Gas & LPG,0.07924084339727107,0.026413614465757025,943.3433737770366
2014,Buildings & Industry Fuel Use,Petroleum,0.027533702062031984,0.009177900687343995,327.7821674051427
2014,Buildings & Industry Fuel Use,Wood,0.3503515740359584,0.11678385801198614,4170.852071856648
2014,Electricity Use,Coal,0.11833580153029381,0.0394452671767646,1408.7595420273074
2014,Electricity Use,Natural Gas,0.009774314103129358,0.0032581047010431193,116.3608821801114
2014,Electricity Use,Oil,0.0012354255450633162,0.0004118085150211054,14.707446965039479
2014,Electricity Use,Wood,0.0,0.0,0.0
2014,Forestry & Land Use,Forest Fires,0.06538105014336001,0.02179368338112,778.3458350400001
2014,Forestry & Land Use,Wetlands and SAV,1.004846250888302,0.33494875029610066,11962.455367717881
2014,Fossil Fuel Industry,Natural Gas Industry,3.227765771178035,1.0759219237260116,38425.7829902147
2014,Fossil Fuel Industry,Oil Industry,0.0,0.0,0.0
2014,Fossil Fuel Industry,Coal Mining,0.5401129378848,0.1800376459616,6429.9159272
2014,Industrial Processes,Cement Manufacture,0.0,0.0,0.0
2014,Industrial Processes,Limestone and Dolomite,0.0,0.0,0.0
2014,Industrial Processes,Soda Ash,0.0,0.0,0.0
2014,Industrial Processes,Iron and Steel,0.0,0.0,0.0
2014,Industrial Processes,ODS Substitutes,0.0,0.0,0.0
2014,Industrial Processes,Electricity Transmission and Dist.,0.0,0.0,0.0
2014,Industrial Processes,Semiconductor Manufacturing,0.0,0.0,0.0
2014,Industrial Processes,Ammonia and Urea Production (Nonfertilizer Usage),0.0,0.0,0.0
2014,Industrial Processes,Aluminum Production,0.0,0.0,0.0
2014,Transportation,Onroad Gasoline,0.02758482446509635,0.00919494148836545,328.3907674416232
2014,Transportation,Nonroad Gasoline,0.09282325536098203,0.030941085120327345,1105.0387542974051
2014,Transportation,Onroad Diesel,0.00038207265741575623,0.00012735755247191873,4.548484016854241
2014,Transportation,Nonroad Diesel,0.0005195885865706709,0.00017319619552355698,6.185578411555606
2014,Transportation,Rail,0.00121202302032,0.00040400767344,14.42884548
2014,Transportation,Marine Vessels (Gas & Oil),0.0007521810659999998,0.000250727022,8.954536499999998
2014,Transportation,"Lubricants, Natural Gas, and LPG",0.01839219410690616,0.00613073136896872,218.95469174888285
2014,Transportation,Jet Fuel and Aviation Gasoline,0.00585963314496,0.00195321104832,69.75753744000001
2014,Waste Management,Waste Combustion,0.0007492594077708999,0.00024975313592363326,8.919754854415475
2014,Waste Management,Landfills,5.790347027568487,1.9301156758561624,68932.70270914865
2014,Waste Management,Wastewater Management,1.611067998175125,0.537022666058375,19179.38093065625
2014,Waste Management,Residential Open Burning,0.0,0.0,0.0
2017,Agriculture,Enteric Fermentation,1.5277994256,0.5092664752,18188.0884
2017,Agriculture,Manure Management,0.375469611224528,0.12515653707484267,4469.876324101524
2017,Agriculture,Agricultural Soils,0.0,0.0,0.0
2017,Agriculture,Agricultural Burning,0.015121585624510204,0.005040528541503402,180.01887648226435
2017,Agriculture,Urea Fertilizer Usage and Liming,0.0,0.0,0.0
2017,Buildings & Industry Fuel Use,Coal,0.010165392776994499,0.003388464258998166,121.01658067850593
2017,Buildings & Industry Fuel Use,Natural Gas & LPG,0.07106285269100743,0.02368761756366914,845.9863415596121
2017,Buildings & Industry Fuel Use,Petroleum,0.02233737648323002,0.007445792161076674,265.9211486098812
2017,Buildings & Industry Fuel Use,Wood,0.1624301826802916,0.05414339422676387,1933.6926509558525
2017,Electricity Use,Coal,0.08808729865287077,0.029362432884290256,1048.6583172960804
2017,Electricity Use,Natural Gas,0.00405402941155513,0.0013513431371850433,48.26225489946583
2017,Electricity Use,Oil,0.0015198911941139335,0.0005066303980379778,18.093942787070635
2017,Electricity Use,Wood,0.0,0.0,0.0
2017,Forestry & Land Use,Forest Fires,0.086246230508928,0.028748743502976,1026.740839392
2017,Forestry & Land Use,Wetlands and SAV,1.0101756302846518,0.33672521009488393,12025.900360531568
2017,Fossil Fuel Industry,Natural Gas Industry,3.1675609564293885,1.0558536521431294,37709.05900511177
2017,Fossil Fuel Industry,Oil Industry,0.0,0.0,0.0
2017,Fossil Fuel Industry,Coal Mining,0.3633354255552,0.12111180851839999,4325.4217327999995
2017,Industrial Processes,Cement Manufacture,0.0,0.0,0.0
2017,Industrial Processes,Limestone and Dolomite,0.0,0.0,0.0
2017,Industrial Processes,Soda Ash,0.0,0.0,0.0
2017,Industrial Processes,Iron and Steel,0.0,0.0,0.0
2017,Industrial Processes,ODS Substitutes,0.0,0.0,0.0
2017,Industrial Processes,Electricity Transmission and Dist.,0.0,0.0,0.0
2017,Industrial Processes,Semiconductor Manufacturing,0.0,0.0,0.0
2017,Industrial Processes,Ammonia and Urea Production (Nonfertilizer Usage),0.0,0.0,0.0
2017,Industrial Processes,Aluminum Production,0.0,0.0,0.0
2017,Transportation,Onroad Gasoline,0.02551576231896962,0.008505254106323206,303.7590752258288
2017,Transportation,Nonroad Gasoline,0.06922536375228112,0.023075121250760375,824.111473241442
2017,Transportation,Onroad Diesel,0.0003531766953440346,0.00011772556511467819,4.204484468381364
2017,Transportation,Nonroad Diesel,0.0018640692708106208,0.0006213564236035403,22.19130084298358
2017,Transportation,Rail,0.001091645882208,0.000363881960736,12.995784312
2017,Transportation,Marine Vessels (Gas & Oil),0.0005273637766998689,0.00017578792556662297,6.2781401988079635
2017,Transportation,"Lubricants, Natural Gas, and LPG",0.012156930237206735,0.004052310079068912,144.72535996674685
2017,Transportation,Jet Fuel and Aviation Gasoline,0.00718307481024,0.00239435827008,85.51279536000001
2017,Waste Management,Waste Combustion,0.021097141756371073,0.0070323805854570235,251.156449480608
2017,Waste Management,Landfills,4.9057896216160755,1.6352632072053583,58402.257400191374
2017,Waste Management,Wastewater Management,1.6319725277075634,0.5439908425691878,19428.244377470994
2017,Waste Management,Residential Open Burning,0.0,0.0,0.0
2020,Agriculture,Enteric Fermentation,1.318303426,0.4394344752,15694.0884
2020,Agriculture,Manure Management,0.5751483338,0.1917161113,6847.003975
2020,Agriculture,Agricultural Soils,0.0,0.0,0.0
2020,Agriculture,Agricultural Burning,0.1354095392,0.04513651308,1612.0183242857145
2020,Agriculture,Urea Fertilizer Usage and Liming,0.0,0.0,0.0
2020,Buildings & Industry Fuel Use,Coal,0.007480569691,0.00249352323,89.05440107142857
2020,Buildings & Industry Fuel Use,Natural Gas & LPG,0.0710157279,0.0236719093,845.4253321428571
2020,Buildings & Industry Fuel Use,Petroleum,0.02343909084,0.007813030281,279.03679575
2020,Buildings & Industry Fuel Use,Wood,0.1440338237,0.04801127456,1714.688377142857
2020,Electricity Use,Coal,0.03851691668,0.01283897223,458.5347225
2020,Electricity Use,Natural Gas,0.007983193363,0.002661064454,95.03801621428572
2020,Electricity Use,Oil,0.0005258457672,0.0001752819224,6.260068657142857
2020,Electricity Use,Wood,0.0,0.0,0.0
2020,Forestry & Land Use,Forest Fires,0.04039081466,0.01346360489,480.84303178571423
2020,Forestry & Land Use,Wetlands and SAV,1.003213099,0.3344043663,11943.013082142856
2020,Fossil Fuel Industry,Natural Gas Industry,3.102014622,1.034004874,36928.745500000005
2020,Fossil Fuel Industry,Oil Industry,0.0,0.0,0.0
2020,Fossil Fuel Industry,Coal Mining,0.2194342264,0.07314474215,2612.312219642857
2020,Industrial Processes,Cement Manufacture,0.0,0.0,0.0
2020,Industrial Processes,Limestone and Dolomite,0.0,0.0,0.0
2020,Industrial Processes,Soda Ash,0.0,0.0,0.0
2020,Industrial Processes,Iron and Steel,0.0,0.0,0.0
2020,Industrial Processes,ODS Substitutes,0.0,0.0,0.0
2020,Industrial Processes,Electricity Transmission and Dist.,0.0,0.0,0.0
2020,Industrial Processes,Semiconductor Manufacturing,0.0,0.0,0.0
2020,Industrial Processes,Ammonia and Urea Production (Nonfertilizer Usage),0.0,0.0,0.0
2020,Industrial Processes,Aluminum Production,0.0,0.0,0.0
2020,Transportation,Onroad Gasoline,0.0734547933,0.0244849311,874.461825
2020,Transportation,Nonroad Gasoline,0.06808955593,0.02269651864,810.5899514285715
2020,Transportation,Onroad Diesel,0.01116570504,0.00372190168,132.92506
2020,Transportation,Nonroad Diesel,0.001497156007,0.0004990520022,17.823285792857142
2020,Transportation,Rail,0.002033951976,0.000677983992,24.213714
2020,Transportation,Marine Vessels (Gas & Oil),0.001474562313,0.0004915207711,17.55431325357143
2020,Transportation,"Lubricants, Natural Gas, and LPG",0.05533131575,0.01844377192,658.70614
2020,Transportation,Jet Fuel and Aviation Gasoline,0.006451880561,0.002150626854,76.80810192857143
2020,Waste Management,Waste Combustion,0.01928091628,0.006426972094,229.53471764285715
2020,Waste Management,Landfills,4.955920203,1.651973401,58999.05003571428
2020,Waste Management,Wastewater Management,1.665585084,0.5551950281,19828.393860714285
2020,Waste Management,Residential Open Burning,0.0,0.0,0.0
